code,term
C50,GNH0035_BreastCancer
C500,GNH0035_BreastCancer
C501,GNH0035_BreastCancer
C502,GNH0035_BreastCancer
C503,GNH0035_BreastCancer
C504,GNH0035_BreastCancer
C505,GNH0035_BreastCancer
C506,GNH0035_BreastCancer
C508,GNH0035_BreastCancer
C509,GNH0035_BreastCancer
C50X,GNH0035_BreastCancer
D05,GNH0035_BreastCancer
D050,GNH0035_BreastCancer
D051,GNH0035_BreastCancer
D057,GNH0035_BreastCancer
D059,GNH0035_BreastCancer
D05X,GNH0035_BreastCancer
D486,GNH0035_BreastCancer
Z853,GNH0035_BreastCancer
C18,GNH0036_ColorectalCancer
C180,GNH0036_ColorectalCancer
C181,GNH0036_ColorectalCancer
C182,GNH0036_ColorectalCancer
C183,GNH0036_ColorectalCancer
C184,GNH0036_ColorectalCancer
C185,GNH0036_ColorectalCancer
C186,GNH0036_ColorectalCancer
C187,GNH0036_ColorectalCancer
C188,GNH0036_ColorectalCancer
C189,GNH0036_ColorectalCancer
C18X,GNH0036_ColorectalCancer
C19,GNH0036_ColorectalCancer
C19X,GNH0036_ColorectalCancer
C20,GNH0036_ColorectalCancer
C20X,GNH0036_ColorectalCancer
C21,GNH0036_ColorectalCancer
C210,GNH0036_ColorectalCancer
C211,GNH0036_ColorectalCancer
C212,GNH0036_ColorectalCancer
C21X,GNH0036_ColorectalCancer
C260,GNH0036_ColorectalCancer
D010,GNH0036_ColorectalCancer
D012,GNH0036_ColorectalCancer
D014,GNH0036_ColorectalCancer
D374,GNH0036_ColorectalCancer
J990,GNH0037_RheumatoidArthritis
M05,GNH0037_RheumatoidArthritis
M050,GNH0037_RheumatoidArthritis
M051,GNH0037_RheumatoidArthritis
M052,GNH0037_RheumatoidArthritis
M058,GNH0037_RheumatoidArthritis
M059,GNH0037_RheumatoidArthritis
M05X,GNH0037_RheumatoidArthritis
M06,GNH0037_RheumatoidArthritis
M060,GNH0037_RheumatoidArthritis
M061,GNH0037_RheumatoidArthritis
M062,GNH0037_RheumatoidArthritis
M0621,GNH0037_RheumatoidArthritis
M063,GNH0037_RheumatoidArthritis
M068,GNH0037_RheumatoidArthritis
M069,GNH0037_RheumatoidArthritis
M06X,GNH0037_RheumatoidArthritis
F204,GNH0038_Depression
F251,GNH0038_Depression
F32,GNH0038_Depression
F320,GNH0038_Depression
F321,GNH0038_Depression
F322,GNH0038_Depression
F323,GNH0038_Depression
F328,GNH0038_Depression
F329,GNH0038_Depression
F32X,GNH0038_Depression
F33,GNH0038_Depression
F330,GNH0038_Depression
F331,GNH0038_Depression
F332,GNH0038_Depression
F333,GNH0038_Depression
F334,GNH0038_Depression
F338,GNH0038_Depression
F339,GNH0038_Depression
F33X,GNH0038_Depression
F34,GNH0038_Depression
F340,GNH0038_Depression
F341,GNH0038_Depression
F348,GNH0038_Depression
F349,GNH0038_Depression
F34X,GNH0038_Depression
F38,GNH0038_Depression
F380,GNH0038_Depression
F381,GNH0038_Depression
F38X,GNH0038_Depression
F412,GNH0038_Depression
F920,GNH0038_Depression
F90,ADHD_and_hyperkinetic_disorders
F900,ADHD_and_hyperkinetic_disorders
F901,ADHD_and_hyperkinetic_disorders
F908,ADHD_and_hyperkinetic_disorders
F909,ADHD_and_hyperkinetic_disorders
F90X,ADHD_and_hyperkinetic_disorders
E271,Adrenal_insufficiency_and_Addisons_disease
E272,Adrenal_insufficiency_and_Addisons_disease
E274,Adrenal_insufficiency_and_Addisons_disease
E244,Alcohol_dependence_and_related_disease
E244,Alcohol_dependence_and_related_disease
F10,Alcohol_dependence_and_related_disease
F101,Alcohol_dependence_and_related_disease
F102,Alcohol_dependence_and_related_disease
F102,Alcohol_dependence_and_related_disease
F103,Alcohol_dependence_and_related_disease
F103,Alcohol_dependence_and_related_disease
F104,Alcohol_dependence_and_related_disease
F104,Alcohol_dependence_and_related_disease
F105,Alcohol_dependence_and_related_disease
F105,Alcohol_dependence_and_related_disease
F106,Alcohol_dependence_and_related_disease
F106,Alcohol_dependence_and_related_disease
F107,Alcohol_dependence_and_related_disease
F107,Alcohol_dependence_and_related_disease
F108,Alcohol_dependence_and_related_disease
F109,Alcohol_dependence_and_related_disease
F10X,Alcohol_dependence_and_related_disease
G312,Alcohol_dependence_and_related_disease
G621,Alcohol_dependence_and_related_disease
G721,Alcohol_dependence_and_related_disease
I426,Alcohol_dependence_and_related_disease
K292,Alcohol_dependence_and_related_disease
K70,Alcohol_dependence_and_related_disease
K700,Alcohol_dependence_and_related_disease
K701,Alcohol_dependence_and_related_disease
K702,Alcohol_dependence_and_related_disease
K703,Alcohol_dependence_and_related_disease
K704,Alcohol_dependence_and_related_disease
K709,Alcohol_dependence_and_related_disease
K70X,Alcohol_dependence_and_related_disease
K852,Alcohol_dependence_and_related_disease
K860,Alcohol_dependence_and_related_disease
Z502,Alcohol_dependence_and_related_disease
Z714,Alcohol_dependence_and_related_disease
J30,Allergic_and_chronic_rhinitis
J300,Allergic_and_chronic_rhinitis
J301,Allergic_and_chronic_rhinitis
J302,Allergic_and_chronic_rhinitis
J303,Allergic_and_chronic_rhinitis
J304,Allergic_and_chronic_rhinitis
J304,Allergic_and_chronic_rhinitis
J30X,Allergic_and_chronic_rhinitis
J310,Allergic_and_chronic_rhinitis
L63,Alopecia_areata_and_scarring_alopecia
L630,Alopecia_areata_and_scarring_alopecia
L631,Alopecia_areata_and_scarring_alopecia
L632,Alopecia_areata_and_scarring_alopecia
L638,Alopecia_areata_and_scarring_alopecia
L639,Alopecia_areata_and_scarring_alopecia
L63X,Alopecia_areata_and_scarring_alopecia
L669,Alopecia_areata_and_scarring_alopecia
M081,Ankylosing_spondylitis
M45,Ankylosing_spondylitis
M45X,Ankylosing_spondylitis
F064,Anxiety_and_phobia
F40,Anxiety_and_phobia
F400,Anxiety_and_phobia
F401,Anxiety_and_phobia
F402,Anxiety_and_phobia
F408,Anxiety_and_phobia
F409,Anxiety_and_phobia
F40X,Anxiety_and_phobia
F41,Anxiety_and_phobia
F410,Anxiety_and_phobia
F411,Anxiety_and_phobia
F412,Anxiety_and_phobia
F413,Anxiety_and_phobia
F418,Anxiety_and_phobia
F419,Anxiety_and_phobia
F41X,Anxiety_and_phobia
F452,Anxiety_and_phobia
F481,Anxiety_and_phobia
F488,Anxiety_and_phobia
F489,Anxiety_and_phobia
F940,Anxiety_and_phobia
I710,Aortic_aneurysm
I711,Aortic_aneurysm
I712,Aortic_aneurysm
I713,Aortic_aneurysm
I714,Aortic_aneurysm
I714,Aortic_aneurysm
I715,Aortic_aneurysm
I716,Aortic_aneurysm
I716,Aortic_aneurysm
I718,Aortic_aneurysm
I719,Aortic_aneurysm
I719,Aortic_aneurysm
D60,Aplastic_anaemias
D600,Aplastic_anaemias
D601,Aplastic_anaemias
D609,Aplastic_anaemias
D60X,Aplastic_anaemias
D61,Aplastic_anaemias
D610,Aplastic_anaemias
D611,Aplastic_anaemias
D612,Aplastic_anaemias
D613,Aplastic_anaemias
D619,Aplastic_anaemias
D61X,Aplastic_anaemias
J61,Asbestosis
J61X,Asbestosis
J920,Asbestosis
J45,Asthma
J450,Asthma
J451,Asthma
J458,Asthma
J459,Asthma
J45X,Asthma
J46,Asthma
J46X,Asthma
I48,Atrial_fibrillation_and_flutter
I480,Atrial_fibrillation_and_flutter
I481,Atrial_fibrillation_and_flutter
I489,Atrial_fibrillation_and_flutter
I48X,Atrial_fibrillation_and_flutter
F840,Autism_and_Aspergers_syndrome
F841,Autism_and_Aspergers_syndrome
F845,Autism_and_Aspergers_syndrome
F845,Autism_and_Aspergers_syndrome
K743,Autoimmune_liver_disease
K743,Autoimmune_liver_disease
K754,Autoimmune_liver_disease
K754,Autoimmune_liver_disease
K227,Barretts_oesophagus
F250,Bipolar_affective_disorder_and_mania
F30,Bipolar_affective_disorder_and_mania
F300,Bipolar_affective_disorder_and_mania
F301,Bipolar_affective_disorder_and_mania
F302,Bipolar_affective_disorder_and_mania
F308,Bipolar_affective_disorder_and_mania
F309,Bipolar_affective_disorder_and_mania
F30X,Bipolar_affective_disorder_and_mania
F31,Bipolar_affective_disorder_and_mania
F310,Bipolar_affective_disorder_and_mania
F316,Bipolar_affective_disorder_and_mania
F317,Bipolar_affective_disorder_and_mania
F318,Bipolar_affective_disorder_and_mania
F319,Bipolar_affective_disorder_and_mania
F31X,Bipolar_affective_disorder_and_mania
H133,Blistering_autoimmune_skin_conditions
L10,Blistering_autoimmune_skin_conditions
L100,Blistering_autoimmune_skin_conditions
L101,Blistering_autoimmune_skin_conditions
L102,Blistering_autoimmune_skin_conditions
L103,Blistering_autoimmune_skin_conditions
L104,Blistering_autoimmune_skin_conditions
L105,Blistering_autoimmune_skin_conditions
L108,Blistering_autoimmune_skin_conditions
L109,Blistering_autoimmune_skin_conditions
L10X,Blistering_autoimmune_skin_conditions
L12,Blistering_autoimmune_skin_conditions
L120,Blistering_autoimmune_skin_conditions
L121,Blistering_autoimmune_skin_conditions
L128,Blistering_autoimmune_skin_conditions
L129,Blistering_autoimmune_skin_conditions
L12X,Blistering_autoimmune_skin_conditions
L130,Blistering_autoimmune_skin_conditions
J47,Bronchiectasis
J47X,Bronchiectasis
Q334,Bronchiectasis
I441,Cardiac_conduction_defects
I442,Cardiac_conduction_defects
I446,Cardiac_conduction_defects
I447,Cardiac_conduction_defects
I447,Cardiac_conduction_defects
I451,Cardiac_conduction_defects
I453,Cardiac_conduction_defects
I454,Cardiac_conduction_defects
I455,Cardiac_conduction_defects
I255,Cardiomyopathy_other
I255,Cardiomyopathy_other
I255,Cardiomyopathy_other
I420,Cardiomyopathy_other
I423,Cardiomyopathy_other
I425,Cardiomyopathy_other
I426,Cardiomyopathy_other
I427,Cardiomyopathy_other
I428,Cardiomyopathy_other
I429,Cardiomyopathy_other
I429,Cardiomyopathy_other
I43,Cardiomyopathy_other
I43X,Cardiomyopathy_other
G80,Cerebral_Palsy
G800,Cerebral_Palsy
G801,Cerebral_Palsy
G802,Cerebral_Palsy
G803,Cerebral_Palsy
G804,Cerebral_Palsy
G808,Cerebral_Palsy
G809,Cerebral_Palsy
G80X,Cerebral_Palsy
G45,Cerebrovascular_disease
G450,Cerebrovascular_disease
G451,Cerebrovascular_disease
G452,Cerebrovascular_disease
G453,Cerebrovascular_disease
G454,Cerebrovascular_disease
G458,Cerebrovascular_disease
G459,Cerebrovascular_disease
G459,Cerebrovascular_disease
G45X,Cerebrovascular_disease
G460,Cerebrovascular_disease
G461,Cerebrovascular_disease
G462,Cerebrovascular_disease
G463,Cerebrovascular_disease
G464,Cerebrovascular_disease
G465,Cerebrovascular_disease
G466,Cerebrovascular_disease
G467,Cerebrovascular_disease
G468,Cerebrovascular_disease
I630,Cerebrovascular_disease
I631,Cerebrovascular_disease
I632,Cerebrovascular_disease
I633,Cerebrovascular_disease
I634,Cerebrovascular_disease
I635,Cerebrovascular_disease
I638,Cerebrovascular_disease
I639,Cerebrovascular_disease
I639,Cerebrovascular_disease
I64,Cerebrovascular_disease
I64,Cerebrovascular_disease
I64X,Cerebrovascular_disease
I64X,Cerebrovascular_disease
I65,Cerebrovascular_disease
I65,Cerebrovascular_disease
I65X,Cerebrovascular_disease
I65X,Cerebrovascular_disease
I66,Cerebrovascular_disease
I669,Cerebrovascular_disease
I66X,Cerebrovascular_disease
I693,Cerebrovascular_disease
I694,Cerebrovascular_disease
D06,Cervical_carcinoma_in_situ
D060,Cervical_carcinoma_in_situ
D061,Cervical_carcinoma_in_situ
D067,Cervical_carcinoma_in_situ
D069,Cervical_carcinoma_in_situ
D06X,Cervical_carcinoma_in_situ
N87,Cervical_carcinoma_in_situ
N870,Cervical_carcinoma_in_situ
N871,Cervical_carcinoma_in_situ
N872,Cervical_carcinoma_in_situ
N879,Cervical_carcinoma_in_situ
N87X,Cervical_carcinoma_in_situ
K563,Cholelithiasis
K80,Cholelithiasis
K800,Cholelithiasis
K801,Cholelithiasis
K802,Cholelithiasis
K803,Cholelithiasis
K804,Cholelithiasis
K805,Cholelithiasis
K808,Cholelithiasis
K80X,Cholelithiasis
K851,Cholelithiasis
F480,Chronic_fatigue
G933,Chronic_fatigue
E142,Chronic_Kidney_Disease
N04,Chronic_Kidney_Disease
N04X,Chronic_Kidney_Disease
N083,Chronic_Kidney_Disease
N18,Chronic_Kidney_Disease
N181,Chronic_Kidney_Disease
N182,Chronic_Kidney_Disease
N183,Chronic_Kidney_Disease
N184,Chronic_Kidney_Disease
N185,Chronic_Kidney_Disease
N189,Chronic_Kidney_Disease
N18X,Chronic_Kidney_Disease
J32,Chronic_sinusitis
J32,Chronic_sinusitis
J320,Chronic_sinusitis
J321,Chronic_sinusitis
J322,Chronic_sinusitis
J323,Chronic_sinusitis
J324,Chronic_sinusitis
J328,Chronic_sinusitis
J329,Chronic_sinusitis
J32X,Chronic_sinusitis
J32X,Chronic_sinusitis
J338,Chronic_sinusitis
A067,Chronic_ulcer_of_the_skin
A664,Chronic_ulcer_of_the_skin
I830,Chronic_ulcer_of_the_skin
I832,Chronic_ulcer_of_the_skin
I839,Chronic_ulcer_of_the_skin
L89,Chronic_ulcer_of_the_skin
L890,Chronic_ulcer_of_the_skin
L891,Chronic_ulcer_of_the_skin
L892,Chronic_ulcer_of_the_skin
L893,Chronic_ulcer_of_the_skin
L899,Chronic_ulcer_of_the_skin
L89X,Chronic_ulcer_of_the_skin
L97,Chronic_ulcer_of_the_skin
L97X,Chronic_ulcer_of_the_skin
L984,Chronic_ulcer_of_the_skin
B169,Chronic_viral_hepatitis
B170,Chronic_viral_hepatitis
B178,Chronic_viral_hepatitis
B18,Chronic_viral_hepatitis
B180,Chronic_viral_hepatitis
B181,Chronic_viral_hepatitis
B182,Chronic_viral_hepatitis
B188,Chronic_viral_hepatitis
B189,Chronic_viral_hepatitis
B18X,Chronic_viral_hepatitis
K900,Coeliac_disease
M485,Collapsed_vertebra
M485,Collapsed_vertebra
M495,Collapsed_vertebra
Q200,Congenital_cardiac_disease
Q201,Congenital_cardiac_disease
Q203,Congenital_cardiac_disease
Q204,Congenital_cardiac_disease
Q205,Congenital_cardiac_disease
Q208,Congenital_cardiac_disease
Q21,Congenital_cardiac_disease
Q210,Congenital_cardiac_disease
Q211,Congenital_cardiac_disease
Q212,Congenital_cardiac_disease
Q213,Congenital_cardiac_disease
Q214,Congenital_cardiac_disease
Q218,Congenital_cardiac_disease
Q219,Congenital_cardiac_disease
Q21X,Congenital_cardiac_disease
Q223,Congenital_cardiac_disease
Q224,Congenital_cardiac_disease
Q225,Congenital_cardiac_disease
Q226,Congenital_cardiac_disease
Q229,Congenital_cardiac_disease
Q231,Congenital_cardiac_disease
Q232,Congenital_cardiac_disease
Q233,Congenital_cardiac_disease
Q234,Congenital_cardiac_disease
Q238,Congenital_cardiac_disease
Q24,Congenital_cardiac_disease
Q246,Congenital_cardiac_disease
Q248,Congenital_cardiac_disease
Q249,Congenital_cardiac_disease
Q24X,Congenital_cardiac_disease
Q251,Congenital_cardiac_disease
Q254,Congenital_cardiac_disease
Q256,Congenital_cardiac_disease
K590,Constipation
J41,COPD
J410,COPD
J411,COPD
J418,COPD
J41X,COPD
J42,COPD
J42X,COPD
J43,COPD
J431,COPD
J432,COPD
J438,COPD
J439,COPD
J43X,COPD
J44,COPD
J441,COPD
J448,COPD
J449,COPD
J44X,COPD
J684,COPD
J82,COPD
J82X,COPD
I20,Coronary_heart_disease
I200,Coronary_heart_disease
I200,Coronary_heart_disease
I201,Coronary_heart_disease
I208,Coronary_heart_disease
I208,Coronary_heart_disease
I209,Coronary_heart_disease
I209,Coronary_heart_disease
I20X,Coronary_heart_disease
I21,Coronary_heart_disease
I210,Coronary_heart_disease
I211,Coronary_heart_disease
I212,Coronary_heart_disease
I213,Coronary_heart_disease
I214,Coronary_heart_disease
I219,Coronary_heart_disease
I21X,Coronary_heart_disease
I22,Coronary_heart_disease
I220,Coronary_heart_disease
I221,Coronary_heart_disease
I228,Coronary_heart_disease
I229,Coronary_heart_disease
I22X,Coronary_heart_disease
I23,Coronary_heart_disease
I238,Coronary_heart_disease
I23X,Coronary_heart_disease
I24,Coronary_heart_disease
I240,Coronary_heart_disease
I241,Coronary_heart_disease
I241,Coronary_heart_disease
I248,Coronary_heart_disease
I249,Coronary_heart_disease
I24X,Coronary_heart_disease
I25,Coronary_heart_disease
I250,Coronary_heart_disease
I251,Coronary_heart_disease
I251,Coronary_heart_disease
I252,Coronary_heart_disease
I252,Coronary_heart_disease
I253,Coronary_heart_disease
I254,Coronary_heart_disease
I256,Coronary_heart_disease
I256,Coronary_heart_disease
I258,Coronary_heart_disease
I258,Coronary_heart_disease
I259,Coronary_heart_disease
I259,Coronary_heart_disease
I25X,Coronary_heart_disease
T822,Coronary_heart_disease
K50,Crohns_disease
K50,Crohns_disease
K500,Crohns_disease
K501,Crohns_disease
K508,Crohns_disease
K509,Crohns_disease
K50X,Crohns_disease
K50X,Crohns_disease
E84,Cystic_Fibrosis
E840,Cystic_Fibrosis
E841,Cystic_Fibrosis
E848,Cystic_Fibrosis
E849,Cystic_Fibrosis
E84X,Cystic_Fibrosis
Q61,Cystic_renal_disease
Q611,Cystic_renal_disease
Q612,Cystic_renal_disease
Q613,Cystic_renal_disease
Q615,Cystic_renal_disease
Q618,Cystic_renal_disease
Q619,Cystic_renal_disease
Q61X,Cystic_renal_disease
F00,Dementia
F00X,Dementia
F01,Dementia
F01,Dementia
F010,Dementia
F011,Dementia
F012,Dementia
F013,Dementia
F018,Dementia
F019,Dementia
F01X,Dementia
F01X,Dementia
F02,Dementia
F024,Dementia
F02X,Dementia
F03,Dementia
F03,Dementia
F03X,Dementia
F03X,Dementia
F051,Dementia
F051,Dementia
G30,Dementia
G300,Dementia
G301,Dementia
G308,Dementia
G309,Dementia
G30X,Dementia
F204,Depression
F251,Depression
F32,Depression
F320,Depression
F321,Depression
F322,Depression
F323,Depression
F328,Depression
F329,Depression
F32X,Depression
F33,Depression
F330,Depression
F331,Depression
F332,Depression
F333,Depression
F334,Depression
F338,Depression
F339,Depression
F33X,Depression
F34,Depression
F340,Depression
F341,Depression
F348,Depression
F349,Depression
F34X,Depression
F38,Depression
F380,Depression
F381,Depression
F38X,Depression
F412,Depression
F920,Depression
B000,Dermatitis_atopc_contact_other_unspecified
D820,Dermatitis_atopc_contact_other_unspecified
H011,Dermatitis_atopc_contact_other_unspecified
L20,Dermatitis_atopc_contact_other_unspecified
L200,Dermatitis_atopc_contact_other_unspecified
L208,Dermatitis_atopc_contact_other_unspecified
L209,Dermatitis_atopc_contact_other_unspecified
L20X,Dermatitis_atopc_contact_other_unspecified
L23,Dermatitis_atopc_contact_other_unspecified
L230,Dermatitis_atopc_contact_other_unspecified
L231,Dermatitis_atopc_contact_other_unspecified
L232,Dermatitis_atopc_contact_other_unspecified
L234,Dermatitis_atopc_contact_other_unspecified
L235,Dermatitis_atopc_contact_other_unspecified
L237,Dermatitis_atopc_contact_other_unspecified
L238,Dermatitis_atopc_contact_other_unspecified
L239,Dermatitis_atopc_contact_other_unspecified
L23X,Dermatitis_atopc_contact_other_unspecified
L24,Dermatitis_atopc_contact_other_unspecified
L240,Dermatitis_atopc_contact_other_unspecified
L241,Dermatitis_atopc_contact_other_unspecified
L242,Dermatitis_atopc_contact_other_unspecified
L243,Dermatitis_atopc_contact_other_unspecified
L245,Dermatitis_atopc_contact_other_unspecified
L247,Dermatitis_atopc_contact_other_unspecified
L248,Dermatitis_atopc_contact_other_unspecified
L249,Dermatitis_atopc_contact_other_unspecified
L24X,Dermatitis_atopc_contact_other_unspecified
L25,Dermatitis_atopc_contact_other_unspecified
L250,Dermatitis_atopc_contact_other_unspecified
L251,Dermatitis_atopc_contact_other_unspecified
L252,Dermatitis_atopc_contact_other_unspecified
L253,Dermatitis_atopc_contact_other_unspecified
L254,Dermatitis_atopc_contact_other_unspecified
L255,Dermatitis_atopc_contact_other_unspecified
L258,Dermatitis_atopc_contact_other_unspecified
L259,Dermatitis_atopc_contact_other_unspecified
L25X,Dermatitis_atopc_contact_other_unspecified
L26,Dermatitis_atopc_contact_other_unspecified
L26X,Dermatitis_atopc_contact_other_unspecified
L27,Dermatitis_atopc_contact_other_unspecified
L270,Dermatitis_atopc_contact_other_unspecified
L271,Dermatitis_atopc_contact_other_unspecified
L272,Dermatitis_atopc_contact_other_unspecified
L278,Dermatitis_atopc_contact_other_unspecified
L279,Dermatitis_atopc_contact_other_unspecified
L27X,Dermatitis_atopc_contact_other_unspecified
