phenotype,code,term,name,comment
GNH0002_CoronaryArteryDisease_narrow,I229,ICD10,Subsequent myocardial infarction of unspecified site,
GNH0002_CoronaryArteryDisease_narrow,I235,ICD10,Rupture of papillary muscle as current complication following acute myocardial infarction,
GNH0002_CoronaryArteryDisease_narrow,I252,ICD10,Old myocardial infarction,
GNH0002_CoronaryArteryDisease_narrow,K401,OPCS4,Saphenous vein graft replacement of one coronary artery,
GNH0002_CoronaryArteryDisease_narrow,K402,OPCS4,Saphenous vein graft replacement of two coronary arteries,
GNH0002_CoronaryArteryDisease_narrow,K403,OPCS4,Saphenous vein graft replacement of three coronary arteries,
GNH0002_CoronaryArteryDisease_narrow,K404,OPCS4,Saphenous vein graft replacement of four or more coronary arteries,
GNH0002_CoronaryArteryDisease_narrow,K411,OPCS4,Autograft replacement of one coronary artery NEC,
GNH0002_CoronaryArteryDisease_narrow,K451,OPCS4,Double anastomosis of mammary arteries to coronary arteries,
GNH0002_CoronaryArteryDisease_narrow,K452,OPCS4,Double anastomosis of thoracic arteries to coronary arteries NEC,
GNH0002_CoronaryArteryDisease_narrow,K453,OPCS4,Anastomosis of mammary artery to left anterior descending coronary artery,
GNH0002_CoronaryArteryDisease_narrow,K454,OPCS4,Anastomosis of mammary artery to coronary artery NEC,
GNH0002_CoronaryArteryDisease_narrow,K455,OPCS4,Anastomosis of thoracic artery to coronary artery NEC,
GNH0002_CoronaryArteryDisease_narrow,K491,OPCS4,Percutaneous transluminal balloon angioplasty of one coronary artery,
GNH0002_CoronaryArteryDisease_narrow,K492,OPCS4,Percutaneous transluminal balloon angioplasty of multiple coronary arteries,
GNH0002_CoronaryArteryDisease_narrow,K499,OPCS4,Unspecified transluminal balloon angioplasty of coronary artery,
GNH0002_CoronaryArteryDisease_narrow,K502,OPCS4,Percutaneous transluminal coronary thrombolysis using streptokinase,
GNH0002_CoronaryArteryDisease_narrow,K751,OPCS4,Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery,
GNH0002_CoronaryArteryDisease_narrow,K752,OPCS4,Percutaneous transluminal balloon angioplasty and insertion of 3 or more drug-eluting stents into coronary artery,
GNH0002_CoronaryArteryDisease_narrow,K753,OPCS4,Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery,
GNH0002_CoronaryArteryDisease_narrow,K754,OPCS4,Percutaneous transluminal balloon angioplasty and insertion of 3 or more stents into coronary artery NEC,
GNH0002_CoronaryArteryDisease_narrow,K758,OPCS4,Other specified percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery,
GNH0002_CoronaryArteryDisease_narrow,K759,OPCS4,Unspecified percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery,
GNH0002_CoronaryArteryDisease_narrow,1755008,SNOMED,Old myocardial infarction,
GNH0002_CoronaryArteryDisease_narrow,22298006,SNOMED,Heart attack,
GNH0002_CoronaryArteryDisease_narrow,22298006,SNOMED,Myocardial infarction,
GNH0002_CoronaryArteryDisease_narrow,54329005,SNOMED,Anterior myocardial infarction NOS,
GNH0002_CoronaryArteryDisease_narrow,54329005,SNOMED,Other specified anterior myocardial infarction,
GNH0002_CoronaryArteryDisease_narrow,57054005,SNOMED,Acute myocardial infarction,
GNH0002_CoronaryArteryDisease_narrow,57054005,SNOMED,Acute myocardial infarction NOS,
GNH0002_CoronaryArteryDisease_narrow,57054005,SNOMED,MI - acute myocardial infarction,
GNH0002_CoronaryArteryDisease_narrow,57054005,SNOMED,Other acute myocardial infarction,
GNH0002_CoronaryArteryDisease_narrow,65547006,SNOMED,Acute inferolateral infarction,
GNH0002_CoronaryArteryDisease_narrow,70211005,SNOMED,Acute anterolateral infarction,
GNH0002_CoronaryArteryDisease_narrow,70211005,SNOMED,Acute myocardial infarction of anterolateral wall,
GNH0002_CoronaryArteryDisease_narrow,70422006,SNOMED,Acute subendocardial infarction,
GNH0002_CoronaryArteryDisease_narrow,73795002,SNOMED,Inferior myocardial infarction NOS,
GNH0002_CoronaryArteryDisease_narrow,233838001,SNOMED,Posterior myocardial infarction NOS,
GNH0002_CoronaryArteryDisease_narrow,304914007,SNOMED,Acute Q-wave infarct,
GNH0002_CoronaryArteryDisease_narrow,401303003,SNOMED,Acute ST segment elevation myocardial infarction,
GNH0002_CoronaryArteryDisease_narrow,401314000,SNOMED,Acute non-ST segment elevation myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,I200,ICD10,Unstable angina,
GNH0003_CoronaryArteryDisease_broad,I201,ICD10,Angina pectoris with documented spasm,
GNH0003_CoronaryArteryDisease_broad,I208,ICD10,Other forms of angina pectoris,
GNH0003_CoronaryArteryDisease_broad,I209,ICD10,"Angina pectoris, unspecified",
GNH0003_CoronaryArteryDisease_broad,I210,ICD10,Acute transmural myocardial infarction of anterior wall,
GNH0003_CoronaryArteryDisease_broad,I211,ICD10,Acute transmural myocardial infarction of inferior wall,
GNH0003_CoronaryArteryDisease_broad,I212,ICD10,Acute transmural myocardial infarction of other sites,
GNH0003_CoronaryArteryDisease_broad,I213,ICD10,Acute transmural myocardial infarction of unspecified site,
GNH0003_CoronaryArteryDisease_broad,I214,ICD10,Acute subendocardial myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,I219,ICD10,"Acute myocardial infarction, unspecified",
GNH0003_CoronaryArteryDisease_broad,I220,ICD10,Subsequent myocardial infarction of anterior wall,
GNH0003_CoronaryArteryDisease_broad,I228,ICD10,Subsequent myocardial infarction of other sites,
GNH0003_CoronaryArteryDisease_broad,I229,ICD10,Subsequent myocardial infarction of unspecified site,
GNH0003_CoronaryArteryDisease_broad,I235,ICD10,Rupture of papillary muscle as current complication following acute myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,I240,ICD10,Coronary thrombosis not resulting in myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,I241,ICD10,Dressler's syndrome,
GNH0003_CoronaryArteryDisease_broad,I248,ICD10,Other forms of acute ischaemic heart disease,
GNH0003_CoronaryArteryDisease_broad,I249,ICD10,"Acute ischaemic heart disease, unspecified",
GNH0003_CoronaryArteryDisease_broad,I250,ICD10,"Atherosclerotic cardiovascular disease, so described",
GNH0003_CoronaryArteryDisease_broad,I251,ICD10,Atherosclerotic heart disease,
GNH0003_CoronaryArteryDisease_broad,I252,ICD10,Old myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,I253,ICD10,Aneurysm of heart,
GNH0003_CoronaryArteryDisease_broad,I254,ICD10,Coronary artery aneurysm,
GNH0003_CoronaryArteryDisease_broad,I255,ICD10,Ischaemic cardiomyopathy,
GNH0003_CoronaryArteryDisease_broad,I258,ICD10,Other forms of chronic ischaemic heart disease,
GNH0003_CoronaryArteryDisease_broad,I259,ICD10,"Chronic ischaemic heart disease, unspecified",
GNH0003_CoronaryArteryDisease_broad,K401,OPCS4,Saphenous vein graft replacement of one coronary artery,
GNH0003_CoronaryArteryDisease_broad,K402,OPCS4,Saphenous vein graft replacement of two coronary arteries,
GNH0003_CoronaryArteryDisease_broad,K403,OPCS4,Saphenous vein graft replacement of three coronary arteries,
GNH0003_CoronaryArteryDisease_broad,K404,OPCS4,Saphenous vein graft replacement of four or more coronary arteries,
GNH0003_CoronaryArteryDisease_broad,K411,OPCS4,Autograft replacement of one coronary artery NEC,
GNH0003_CoronaryArteryDisease_broad,K451,OPCS4,Double anastomosis of mammary arteries to coronary arteries,
GNH0003_CoronaryArteryDisease_broad,K452,OPCS4,Double anastomosis of thoracic arteries to coronary arteries NEC,
GNH0003_CoronaryArteryDisease_broad,K453,OPCS4,Anastomosis of mammary artery to left anterior descending coronary artery,
GNH0003_CoronaryArteryDisease_broad,K454,OPCS4,Anastomosis of mammary artery to coronary artery NEC,
GNH0003_CoronaryArteryDisease_broad,K455,OPCS4,Anastomosis of thoracic artery to coronary artery NEC,
GNH0003_CoronaryArteryDisease_broad,K491,OPCS4,Percutaneous transluminal balloon angioplasty of one coronary artery,
GNH0003_CoronaryArteryDisease_broad,K492,OPCS4,Percutaneous transluminal balloon angioplasty of multiple coronary arteries,
GNH0003_CoronaryArteryDisease_broad,K499,OPCS4,Unspecified transluminal balloon angioplasty of coronary artery,
GNH0003_CoronaryArteryDisease_broad,K502,OPCS4,Percutaneous transluminal coronary thrombolysis using streptokinase,
GNH0003_CoronaryArteryDisease_broad,K751,OPCS4,Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery,
GNH0003_CoronaryArteryDisease_broad,K752,OPCS4,Percutaneous transluminal balloon angioplasty and insertion of 3 or more drug-eluting stents into coronary artery,
GNH0003_CoronaryArteryDisease_broad,K753,OPCS4,Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery,
GNH0003_CoronaryArteryDisease_broad,K754,OPCS4,Percutaneous transluminal balloon angioplasty and insertion of 3 or more stents into coronary artery NEC,
GNH0003_CoronaryArteryDisease_broad,K758,OPCS4,Other specified percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery,
GNH0003_CoronaryArteryDisease_broad,K759,OPCS4,Unspecified percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery,
GNH0003_CoronaryArteryDisease_broad,1755008,SNOMED,Old myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,1755008,SNOMED,Old myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,3546002,SNOMED,Coronary artery venous graft,
GNH0003_CoronaryArteryDisease_broad,3546002,SNOMED,Saphenous vein graft replacement of coronary artery OS,
GNH0003_CoronaryArteryDisease_broad,3546002,SNOMED,Saphenous vein graft replacement of coronary artery,
GNH0003_CoronaryArteryDisease_broad,4557003,SNOMED,Unstable angina,
GNH0003_CoronaryArteryDisease_broad,4557003,SNOMED,Crescendo angina,
GNH0003_CoronaryArteryDisease_broad,4557003,SNOMED,Preinfarction syndrome,
GNH0003_CoronaryArteryDisease_broad,4557003,SNOMED,Preinfarction syndrome NOS,
GNH0003_CoronaryArteryDisease_broad,4557003,SNOMED,Worsening angina,
GNH0003_CoronaryArteryDisease_broad,11101003,SNOMED,Coronary Angioplasty,
GNH0003_CoronaryArteryDisease_broad,11101003,SNOMED,Transluminal balloon angioplasty of coronary artery,
GNH0003_CoronaryArteryDisease_broad,11101003,SNOMED,Percutaneous transluminal coronary angioplasty,
GNH0003_CoronaryArteryDisease_broad,11101003,SNOMED,Percutaneous balloon coronary angioplasty,
GNH0003_CoronaryArteryDisease_broad,11101003,SNOMED,Transluminal balloon angioplasty of coronary artery NOS,
GNH0003_CoronaryArteryDisease_broad,11101003,SNOMED,Transluminal balloon angioplasty of coronary artery OS,
GNH0003_CoronaryArteryDisease_broad,14201006,SNOMED,Open angioplasty of coronary artery,
GNH0003_CoronaryArteryDisease_broad,22298006,SNOMED,Heart attack,
GNH0003_CoronaryArteryDisease_broad,22298006,SNOMED,Myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,41339005,SNOMED,Coronary angioplasty,
GNH0003_CoronaryArteryDisease_broad,53741008,SNOMED,Coronary artery disease,
GNH0003_CoronaryArteryDisease_broad,53741008,SNOMED,Coronary heart disease,
GNH0003_CoronaryArteryDisease_broad,54329005,SNOMED,Other specified anterior myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,54329005,SNOMED,Anterior myocardial infarction NOS,
GNH0003_CoronaryArteryDisease_broad,57054005,SNOMED,Acute myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,57054005,SNOMED,MI - acute myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,57054005,SNOMED,Acute myocardial infarction NOS,
GNH0003_CoronaryArteryDisease_broad,57054005,SNOMED,Other acute myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,65547006,SNOMED,Acute inferolateral infarction,
GNH0003_CoronaryArteryDisease_broad,66189004,SNOMED,Dressler's syndrome,
GNH0003_CoronaryArteryDisease_broad,68466008,SNOMED,Percut transluminal balloon angioplasty one coronary artery,
GNH0003_CoronaryArteryDisease_broad,68466008,SNOMED,"Removal of coronary artery obstruction by percutaneous transluminal balloon, single vessel",
GNH0003_CoronaryArteryDisease_broad,70211005,SNOMED,Acute anterolateral infarction,
GNH0003_CoronaryArteryDisease_broad,70211005,SNOMED,Acute myocardial infarction of anterolateral wall,
GNH0003_CoronaryArteryDisease_broad,70422006,SNOMED,Acute subendocardial infarction,
GNH0003_CoronaryArteryDisease_broad,73795002,SNOMED,Inferior myocardial infarction NOS,
GNH0003_CoronaryArteryDisease_broad,85053006,SNOMED,Percut translum balloon angioplasty mult coronary arteries,
GNH0003_CoronaryArteryDisease_broad,85053006,SNOMED,"Percutaneous transluminal coronary angioplasty, multiple vessels",
GNH0003_CoronaryArteryDisease_broad,87343002,SNOMED,Prinzmetal's angina,
GNH0003_CoronaryArteryDisease_broad,87343002,SNOMED,Prinzmetal angina,
GNH0003_CoronaryArteryDisease_broad,161502000,SNOMED,H/O: myocardial infarct <60,
GNH0003_CoronaryArteryDisease_broad,161503005,SNOMED,H/O: myocardial infarct >60,
GNH0003_CoronaryArteryDisease_broad,175021005,SNOMED,Allograft bypass of coronary artery,
GNH0003_CoronaryArteryDisease_broad,175029007,SNOMED,Insertn coronary artery stent,
GNH0003_CoronaryArteryDisease_broad,175029007,SNOMED,Prosthetic replacement of coronary artery,
GNH0003_CoronaryArteryDisease_broad,186963008,SNOMED,Vincent's angina NOS,
GNH0003_CoronaryArteryDisease_broad,194823009,SNOMED,Acute coronary insufficiency,
GNH0003_CoronaryArteryDisease_broad,194828000,SNOMED,Angina pectoris,
GNH0003_CoronaryArteryDisease_broad,194828000,SNOMED,Angina pectoris NOS,
GNH0003_CoronaryArteryDisease_broad,194842008,SNOMED,Single coronary vessel disease,
GNH0003_CoronaryArteryDisease_broad,194843003,SNOMED,Double coronary vessel disease,
GNH0003_CoronaryArteryDisease_broad,232717009,SNOMED,Coronary artery bypass graft operations,
GNH0003_CoronaryArteryDisease_broad,232717009,SNOMED,Other bypass of coronary artery NOS,
GNH0003_CoronaryArteryDisease_broad,232717009,SNOMED,Other bypass of coronary artery,
GNH0003_CoronaryArteryDisease_broad,232717009,SNOMED,Coronary artery bypass graft,
GNH0003_CoronaryArteryDisease_broad,232720001,SNOMED,Coronary artery bypass grafts x 2,
GNH0003_CoronaryArteryDisease_broad,232721002,SNOMED,Coronary artery bypass grafts x 3,
GNH0003_CoronaryArteryDisease_broad,232722009,SNOMED,Coronary artery bypass grafts x 4,
GNH0003_CoronaryArteryDisease_broad,233817007,SNOMED,Triple vessel disease of the heart,
GNH0003_CoronaryArteryDisease_broad,233819005,SNOMED,Stable angina,
GNH0003_CoronaryArteryDisease_broad,233821000,SNOMED,New onset angina,
GNH0003_CoronaryArteryDisease_broad,233823002,SNOMED,Silent myocardial ischaemia,
GNH0003_CoronaryArteryDisease_broad,233838001,SNOMED,Posterior myocardial infarction NOS,
GNH0003_CoronaryArteryDisease_broad,233843008,SNOMED,Silent myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,300995000,SNOMED,Angina on effort,
GNH0003_CoronaryArteryDisease_broad,304914007,SNOMED,Acute Q-wave infarct,
GNH0003_CoronaryArteryDisease_broad,308065005,SNOMED,H/O: Myocardial infarction in last year,
GNH0003_CoronaryArteryDisease_broad,315348000,SNOMED,Asymptomatic coronary heart disease,
GNH0003_CoronaryArteryDisease_broad,394659003,SNOMED,Acute coronary syndrome,
GNH0003_CoronaryArteryDisease_broad,399211009,SNOMED,History of myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,399211009,SNOMED,Personal history of myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,399261000,SNOMED,[V]Presence of coronary artery bypass graft,
GNH0003_CoronaryArteryDisease_broad,399261000,SNOMED,[V]Presence of coronary artery bypass graft - CABG,
GNH0003_CoronaryArteryDisease_broad,401303003,SNOMED,Acute ST segment elevation myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,401314000,SNOMED,Acute non-ST segment elevation myocardial infarction,
GNH0003_CoronaryArteryDisease_broad,408546009,SNOMED,Coronary artery bypass graft occlusion,
GNH0003_CoronaryArteryDisease_broad,414545008,SNOMED,Ischaemic heart disease,
GNH0003_CoronaryArteryDisease_broad,414545008,SNOMED,IHD - Ischaemic heart disease,
GNH0003_CoronaryArteryDisease_broad,414545008,SNOMED,Ischaemic heart disease NOS,
GNH0003_CoronaryArteryDisease_broad,414545008,SNOMED,Other specified ischaemic heart disease,
GNH0003_CoronaryArteryDisease_broad,429639007,SNOMED,Perc translumin balloon angioplasty stenting coronary artery,
GNH0003_CoronaryArteryDisease_broad,429639007,SNOMED,Perc translum balloon angioplasty insert 1-2 stents cor art,
GNH0003_CoronaryArteryDisease_broad,429639007,SNOMED,Perc translum balloon angioplasty stenting coronary art NOS,
GNH0003_CoronaryArteryDisease_broad,429639007,SNOMED,Percutaneous transluminal balloon angioplasty with insertion of stent into coronary artery,
GNH0003_CoronaryArteryDisease_broad,443502000,SNOMED,Coronary atherosclerosis,
GNH0003_CoronaryArteryDisease_broad,707828002,SNOMED,Percut translum cutting balloon angioplasty coronary artery,
GNH0003_CoronaryArteryDisease_broad,719678003,SNOMED,Non-obstructive coronary atherosclerosis,
GNH0003_CoronaryArteryDisease_broad,736968006,SNOMED,Saphenous vein graft replacement of three coronary arteries,
GNH0003_CoronaryArteryDisease_broad,736969003,SNOMED,Saphenous vein graft replacement of two coronary arteries,
GNH0003_CoronaryArteryDisease_broad,736973000,SNOMED,Allograft replacement of two coronary arteries,
GNH0003_CoronaryArteryDisease_broad,7.91E+11,SNOMED,Angina associated with type II diabetes mellitus,previous SNOMED code had been mangled
GNH0003_CoronaryArteryDisease_broad,9.36451E+14,SNOMED,Percutaneous transluminal balloon angioplasty and insertion of drug eluting stent into coronary artery,previous SNOMED code had been mangled
GNH0004_MyocardialInfarction_narrow,I210,ICD10,Acute transmural myocardial infarction of anterior wall,
GNH0004_MyocardialInfarction_narrow,I211,ICD10,Acute transmural myocardial infarction of inferior wall,
GNH0004_MyocardialInfarction_narrow,I212,ICD10,Acute transmural myocardial infarction of other sites,
GNH0004_MyocardialInfarction_narrow,I213,ICD10,Acute transmural myocardial infarction of unspecified site,
GNH0004_MyocardialInfarction_narrow,I214,ICD10,Acute subendocardial myocardial infarction,
GNH0004_MyocardialInfarction_narrow,I219,ICD10,"Acute myocardial infarction, unspecified",
GNH0004_MyocardialInfarction_narrow,I220,ICD10,Subsequent myocardial infarction of anterior wall,
GNH0004_MyocardialInfarction_narrow,I228,ICD10,Subsequent myocardial infarction of other sites,
GNH0004_MyocardialInfarction_narrow,I229,ICD10,Subsequent myocardial infarction of unspecified site,
GNH0004_MyocardialInfarction_narrow,I235,ICD10,Rupture of papillary muscle as current complication following acute myocardial infarction,
GNH0004_MyocardialInfarction_narrow,I252,ICD10,Old myocardial infarction,
GNH0004_MyocardialInfarction_narrow,1755008,SNOMED,Old myocardial infarction,
GNH0004_MyocardialInfarction_narrow,22298006,SNOMED,Heart attack,
GNH0004_MyocardialInfarction_narrow,22298006,SNOMED,Myocardial infarction,
GNH0004_MyocardialInfarction_narrow,54329005,SNOMED,Anterior myocardial infarction NOS,
GNH0004_MyocardialInfarction_narrow,54329005,SNOMED,Other specified anterior myocardial infarction,
GNH0004_MyocardialInfarction_narrow,57054005,SNOMED,Acute myocardial infarction,
GNH0004_MyocardialInfarction_narrow,57054005,SNOMED,Acute myocardial infarction NOS,
GNH0004_MyocardialInfarction_narrow,57054005,SNOMED,MI - acute myocardial infarction,
GNH0004_MyocardialInfarction_narrow,57054005,SNOMED,Other acute myocardial infarction,
GNH0004_MyocardialInfarction_narrow,65547006,SNOMED,Acute inferolateral infarction,
GNH0004_MyocardialInfarction_narrow,70211005,SNOMED,Acute anterolateral infarction,
GNH0004_MyocardialInfarction_narrow,70211005,SNOMED,Acute myocardial infarction of anterolateral wall,
GNH0004_MyocardialInfarction_narrow,70422006,SNOMED,Acute subendocardial infarction,
GNH0004_MyocardialInfarction_narrow,73795002,SNOMED,Inferior myocardial infarction NOS,
GNH0004_MyocardialInfarction_narrow,233838001,SNOMED,Posterior myocardial infarction NOS,
GNH0004_MyocardialInfarction_narrow,304914007,SNOMED,Acute Q-wave infarct,
GNH0004_MyocardialInfarction_narrow,401303003,SNOMED,Acute ST segment elevation myocardial infarction,
GNH0004_MyocardialInfarction_narrow,401314000,SNOMED,Acute non-ST segment elevation myocardial infarction,
GNH0005_MyocardialInfarction_extended,I210,ICD10,Acute transmural myocardial infarction of anterior wall,
GNH0005_MyocardialInfarction_extended,I211,ICD10,Acute transmural myocardial infarction of inferior wall,
GNH0005_MyocardialInfarction_extended,I212,ICD10,Acute transmural myocardial infarction of other sites,
GNH0005_MyocardialInfarction_extended,I213,ICD10,Acute transmural myocardial infarction of unspecified site,
GNH0005_MyocardialInfarction_extended,I214,ICD10,Acute subendocardial myocardial infarction,
GNH0005_MyocardialInfarction_extended,I219,ICD10,"Acute myocardial infarction, unspecified",
GNH0005_MyocardialInfarction_extended,I220,ICD10,Subsequent myocardial infarction of anterior wall,
GNH0005_MyocardialInfarction_extended,I228,ICD10,Subsequent myocardial infarction of other sites,
GNH0005_MyocardialInfarction_extended,I229,ICD10,Subsequent myocardial infarction of unspecified site,
GNH0005_MyocardialInfarction_extended,I235,ICD10,Rupture of papillary muscle as current complication following acute myocardial infarction,
GNH0005_MyocardialInfarction_extended,I252,ICD10,Old myocardial infarction,
GNH0005_MyocardialInfarction_extended,K401,OPCS4,Saphenous vein graft replacement of one coronary artery,
GNH0005_MyocardialInfarction_extended,K402,OPCS4,Saphenous vein graft replacement of two coronary arteries,
GNH0005_MyocardialInfarction_extended,K403,OPCS4,Saphenous vein graft replacement of three coronary arteries,
GNH0005_MyocardialInfarction_extended,K404,OPCS4,Saphenous vein graft replacement of four or more coronary arteries,
GNH0005_MyocardialInfarction_extended,K411,OPCS4,Autograft replacement of one coronary artery NEC,
GNH0005_MyocardialInfarction_extended,K451,OPCS4,Double anastomosis of mammary arteries to coronary arteries,
GNH0005_MyocardialInfarction_extended,K452,OPCS4,Double anastomosis of thoracic arteries to coronary arteries NEC,
GNH0005_MyocardialInfarction_extended,K453,OPCS4,Anastomosis of mammary artery to left anterior descending coronary artery,
GNH0005_MyocardialInfarction_extended,K454,OPCS4,Anastomosis of mammary artery to coronary artery NEC,
GNH0005_MyocardialInfarction_extended,K455,OPCS4,Anastomosis of thoracic artery to coronary artery NEC,
GNH0005_MyocardialInfarction_extended,K491,OPCS4,Percutaneous transluminal balloon angioplasty of one coronary artery,
GNH0005_MyocardialInfarction_extended,K492,OPCS4,Percutaneous transluminal balloon angioplasty of multiple coronary arteries,
GNH0005_MyocardialInfarction_extended,K499,OPCS4,Unspecified transluminal balloon angioplasty of coronary artery,
GNH0005_MyocardialInfarction_extended,K502,OPCS4,Percutaneous transluminal coronary thrombolysis using streptokinase,
GNH0005_MyocardialInfarction_extended,K751,OPCS4,Percutaneous transluminal balloon angioplasty and insertion of 1-2 drug-eluting stents into coronary artery,
GNH0005_MyocardialInfarction_extended,K752,OPCS4,Percutaneous transluminal balloon angioplasty and insertion of 3 or more drug-eluting stents into coronary artery,
GNH0005_MyocardialInfarction_extended,K753,OPCS4,Percutaneous transluminal balloon angioplasty and insertion of 1-2 stents into coronary artery,
GNH0005_MyocardialInfarction_extended,K754,OPCS4,Percutaneous transluminal balloon angioplasty and insertion of 3 or more stents into coronary artery NEC,
GNH0005_MyocardialInfarction_extended,K758,OPCS4,Other specified percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery,
GNH0005_MyocardialInfarction_extended,K759,OPCS4,Unspecified percutaneous transluminal balloon angioplasty and insertion of stent into coronary artery,
GNH0005_MyocardialInfarction_extended,1755008,SNOMED,Old myocardial infarction,
GNH0005_MyocardialInfarction_extended,3546002,SNOMED,Coronary artery venous graft,
GNH0005_MyocardialInfarction_extended,3546002,SNOMED,Saphenous vein graft replacement of coronary artery,
GNH0005_MyocardialInfarction_extended,3546002,SNOMED,Saphenous vein graft replacement of coronary artery OS,
GNH0005_MyocardialInfarction_extended,11101003,SNOMED,Coronary Angioplasty,
GNH0005_MyocardialInfarction_extended,11101003,SNOMED,Percutaneous balloon coronary angioplasty,
GNH0005_MyocardialInfarction_extended,11101003,SNOMED,Percutaneous transluminal coronary angioplasty,
GNH0005_MyocardialInfarction_extended,11101003,SNOMED,Transluminal balloon angioplasty of coronary artery,
GNH0005_MyocardialInfarction_extended,11101003,SNOMED,Transluminal balloon angioplasty of coronary artery NOS,
GNH0005_MyocardialInfarction_extended,11101003,SNOMED,Transluminal balloon angioplasty of coronary artery OS,
GNH0005_MyocardialInfarction_extended,14201006,SNOMED,Open angioplasty of coronary artery,
GNH0005_MyocardialInfarction_extended,22298006,SNOMED,Heart attack,
GNH0005_MyocardialInfarction_extended,22298006,SNOMED,Myocardial infarction,
GNH0005_MyocardialInfarction_extended,41339005,SNOMED,Coronary angioplasty,
GNH0005_MyocardialInfarction_extended,54329005,SNOMED,Anterior myocardial infarction NOS,
GNH0005_MyocardialInfarction_extended,54329005,SNOMED,Other specified anterior myocardial infarction,
GNH0005_MyocardialInfarction_extended,57054005,SNOMED,Acute myocardial infarction,
GNH0005_MyocardialInfarction_extended,57054005,SNOMED,Acute myocardial infarction NOS,
GNH0005_MyocardialInfarction_extended,57054005,SNOMED,MI - acute myocardial infarction,
GNH0005_MyocardialInfarction_extended,57054005,SNOMED,Other acute myocardial infarction,
GNH0005_MyocardialInfarction_extended,65547006,SNOMED,Acute inferolateral infarction,
